store,city,product_id,name,brand,category,subcategory,price,sale_price,currency,quantity,unit,price_per_unit,in_stock,image_url,product_url,barcode,description,scraped_at,_store,_city,_scraped_at
chaseup,karachi,2312796,Loreto Sliced Green Olives 900Gm,,Grocery & Staples,,2100.0,,PKR,900.0,g,233.3333,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008179309.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,2312795,Loreto Sliced Green Olives 450Gm,,Grocery & Staples,,1245.0,,PKR,450.0,g,276.6667,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008179310.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,2312794,Loreto Sliced Green Olives 330Gm,,Grocery & Staples,,924.0,,PKR,330.0,g,280.0,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008179301.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,2312793,Loreto Sliced Green Olives 230Gm,,Grocery & Staples,,804.0,,PKR,230.0,g,349.5652,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,1796034,Polac Whole Corn Tin 425 Gm,,Grocery & Staples,,329.0,,PKR,425.0,g,77.4118,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,1796032,Polac Fruit Cocktail Tin 234Gm,,Grocery & Staples,,319.0,,PKR,234.0,g,136.3248,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,1796031,Polac Fruit Cocktail Tin 836Gm,,Grocery & Staples,,649.0,,PKR,836.0,g,77.6316,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,1795728,Delmonte Nata De Coco Coconuttin 439Gm,,Grocery & Staples,,450.0,,PKR,439.0,g,102.5057,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,1795726,Delmonte Pineapple Slice Tin 822Gm,,Grocery & Staples,,1160.0,,PKR,822.0,g,141.1192,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,1795725,Delmonte Fruit Cocktail Tin 850Gm,,Grocery & Staples,,955.0,,PKR,850.0,g,112.3529,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,1795724,Delmonte Tidbits Pineapple Tin560Gm,,Grocery & Staples,,849.0,,PKR,560.0,g,151.6071,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,1795723,Delmonte Fruit Cocktail 3Kg,,Grocery & Staples,,2850.0,,PKR,3.0,kg,950.0,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,1795722,Delmonte Sliced Black Olives Jar 450Gm,,Grocery & Staples,,1330.0,,PKR,450.0,g,295.5556,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,1421969,The Natural Swat Honey Jar 1Kg,,Grocery & Staples,,740.0,,PKR,1.0,kg,740.0,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,1421968,The Natural Swat Honey Jar 500Gm,,Grocery & Staples,,410.0,,PKR,500.0,g,82.0,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,1421967,The Natural Swat Honey Jar 250Gm,,Grocery & Staples,,240.0,,PKR,250.0,g,96.0,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000299190.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,1420866,Delmonte Whole Kernel Corn Tin410Gm,,Grocery & Staples,,560.0,,PKR,410.0,g,136.5854,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000286261.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,1419859,Delmonte Fruit Cocktail Tin 432Gm,,Grocery & Staples,,610.0,,PKR,432.0,g,141.2037,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000286257.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,1419857,Delmonte Tidbits Pineapple Tin432Gm,,Grocery & Staples,,655.0,,PKR,432.0,g,151.6204,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000289018.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,1419853,Delmonte Pineapple Slice Tin 560Gm,,Grocery & Staples,,855.0,,PKR,560.0,g,152.6786,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000286944.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
